	rtt	tmp	targetedvscwnd	diff	average	output
242	0.0225683	0.975062	0.366893	1396	0.0474726	0
243	0.0225683	0.975062	0.366893	1396	0.0350204	0
244	0.0222014	0.991174	0.975057	55	0.022446	0
245	0.0222014	0.991174	0.975057	55	0.0223237	0
246	0.0222302	0.989891	0.990934	20	0.022211	0
247	0.0222302	0.989891	0.990934	20	0.0222206	0
248	0.0222302	0.989891	0.990934	20	0.0222302	0
249	0.0221762	0.992299	0.989579	23	0.0222122	0
250	0.0221762	0.992299	0.989579	23	0.0221942	0
251	0.0220678	0.997174	0.991848	18	0.0221401	0
252	0.0220678	0.997174	0.991848	18	0.022104	0
253	0.0220355	0.998637	0.996831	7	0.0220571	0
254	0.0220355	0.998637	0.996831	7	0.0220463	0
255	0.022118	0.99491	0.99819	4	0.022063	0
256	0.022118	0.99491	0.99819	4	0.0220905	0
257	0.022118	0.99491	0.99819	4	0.022118	0
258	0.0220406	0.998408	0.994573	12	0.0220922	0
259	0.0220406	0.998408	0.994573	12	0.0220664	0
260	0.0220272	0.999014	0.998192	4	0.0220361	0
261	0.0220272	0.999014	0.998192	4	0.0220316	0
262	0.0220272	0.999014	0.998644	3	0.0220272	0
263	0.0220272	0.999014	0.998644	3	0.0220272	0
264	0.0220272	0.999014	0.998644	3	0.0220272	0
265	0.0220311	0.998838	0.998714	3	0.0220285	0
266	0.0220311	0.998838	0.998714	3	0.0220298	0
267	0.0221743	0.992387	0.998715	3	0.0220788	0
268	0.0221743	0.992387	0.998715	3	0.0221265	0
269	0.0223418	0.984948	0.992291	18	0.0222301	0
270	0.0223418	0.984948	0.992291	18	0.0222859	0
271	0.0223418	0.984948	0.984589	36	0.0223418	0
272	0.0223418	0.984948	0.984589	36	0.0223418	0
273	0.0223418	0.984948	0.984589	36	0.0223418	0
274	0.0223418	0.984948	0.984596	36	0.0223418	0
275	0.0223418	0.984948	0.984596	36	0.0223418	0
276	0.0223418	0.984948	0.984602	36	0.0223418	0
277	0.0223418	0.984948	0.984602	36	0.0223418	0
278	0.0223418	0.984948	0.984609	36	0.0223418	0
279	0.0223418	0.984948	0.984609	36	0.0223418	0
280	0.0223418	0.984948	0.984609	36	0.0223418	0
281	0.0223418	0.984948	0.984615	36	0.0223418	0
282	0.0223418	0.984948	0.984615	36	0.0223418	0
283	0.0223418	0.984948	0.984622	36	0.0223418	0
284	0.0223418	0.984948	0.984622	36	0.0223418	0
285	0.0223418	0.984948	0.984629	36	0.0223418	0
286	0.0223418	0.984948	0.984629	36	0.0223418	0
287	0.0223418	0.984948	0.984635	36	0.0223418	0
288	0.0223418	0.984948	0.984635	36	0.0223418	0
289	0.0223418	0.984948	0.984635	36	0.0223418	0
290	0.0223418	0.984948	0.984642	36	0.0223418	0
291	0.0223418	0.984948	0.984642	36	0.0223418	0
292	0.0223418	0.984948	0.984648	36	0.0223418	0
293	0.0223418	0.984948	0.984648	36	0.0223418	0
294	0.0223418	0.984948	0.984655	36	0.0223418	0
295	0.0223418	0.984948	0.984655	36	0.0223418	0
296	0.0223418	0.984948	0.984655	36	0.0223418	0
297	0.0223418	0.984948	0.984661	36	0.0223418	0
298	0.0223418	0.984948	0.984661	36	0.0223418	0
299	0.0223418	0.984948	0.984668	36	0.0223418	0
300	0.0223418	0.984948	0.984668	36	0.0223418	0
301	0.0223418	0.984948	0.984674	36	0.0223418	0
302	0.0223418	0.984948	0.984674	36	0.0223418	0
303	0.0223418	0.984948	0.984681	36	0.0223418	0
304	0.0223418	0.984948	0.984681	36	0.0223418	0
305	0.0223418	0.984948	0.984681	36	0.0223418	0
306	0.0223418	0.984948	0.984687	36	0.0223418	0
